PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-03-04,15:57:14,"Baxter, Nate",1000121031,Right,HAR_CRI,NA,NA,Live,NA,80.15929,-3.019436911,-1.933646183,NA,NA,NA,6.36394,1.029,6.2924,-42.40648,1.34007,-0.53774,0.04394,-0.79806,72.60043,-11.02312434,-2.036795774,0.4760398476,-0.38813,1.8074,-0.88673,50,6.12174,3.94278,-116.36221,-7.26407,-0.51846,27.07089,-29.75973,3088ac93-5f1b-4287-8a2f-f9ab4d75a861,b3572319-1cf8-4832-901a-29db7b49f42b,79.17917,LiveBpPitching,22420025,NA,1000312057,"Targoff, Lou",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-03-04,15:59:27,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,86.40589,0.03103896462,2.203399672,1923.154319,127.297321,10:15:00,5.62298,-1.98445,5.90254,-25.14071,12.25627,-16.14353,3.55675,-1.28364,78.69184,-4.70036986,-0.8407487025,0.4401388112,9.35645,6.61034,1.81683,50,5.61112,-4.32932,-125.6728,-0.7199,14.90475,26.40245,-21.64383,7a52ce57-7855-482a-9822-a2c637e2a230,b3572319-1cf8-4832-901a-29db7b49f42b,85.63762,LiveBpPitching,22420025,NA,1000238638,"Smith, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-03-04,15:59:37,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,85.82117,0.662604977,2.409599647,1957.732771,112.7936545,09:45:00,5.59858,-2.03803,6.04229,-29.26435,8.70914,-20.84115,3.77384,-1.54286,77.64542,-4.878201005,-1.544715788,0.4435183958,12.0837,4.52948,1.86168,50,5.63447,-4.62179,-124.76244,0.56201,18.82761,27.7894,-25.11667,9f62cc9d-8e37-4a12-8dd1-18b4f7729a04,b3572319-1cf8-4832-901a-29db7b49f42b,84.98506,LiveBpPitching,22420025,NA,1000238638,"Smith, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-03-04,15:59:50,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,85.29148,-0.842824794,3.695244253,1961.969075,116.3288628,10:00:00,5.58085,-1.93696,6.08524,-28.99328,9.23956,-18.73661,2.38347,-0.07562,77.75597,-6.307504445,0.1534952488,0.445030378,11.26238,5.26897,1.66186,50,5.50042,-7.44274,-123.90578,-2.69246,17.43184,25.7718,-24.01877,a1aaf34d-8707-40db-8457-cc8b9a84ec7c,b3572319-1cf8-4832-901a-29db7b49f42b,84.69633,LiveBpPitching,22420025,36.74282185,1000238638,"Smith, Gavin",NA,FlyBall,83.36443,Right,42.18459294,NA,NA,NA,272.58724,39.65496,4.942836028,22.56590408,1.90112,2.448,-0.10004,NA,NA,NA,NA,NA
5,2025-03-04,16:00:14,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,86.10274,-0.08190690587,3.156122271,1927.161752,119.94984410000001,10:00:00,5.5936,-2.03967,6.21246,-27.46796,9.76852,-17.03121,3.22891,-0.54368,78.51376,-5.275526987,-0.07013070239,0.4391932746,10.20617,5.35746,1.81188,50,5.57366,-6.40185,-125.20461,-0.98888,16.15038,26.01743,-23.69634,9c9125a2-d3bb-4a95-9bea-4b4852e7fbbd,b3572319-1cf8-4832-901a-29db7b49f42b,85.82199,LiveBpPitching,22420025,NA,1000238638,"Smith, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-03-04,16:00:39,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,77.15634,1.35433081,2.111785613,2526.987604,275.4907995,03:15:00,5.5714,-2.09999,5.50745,-48.85049,-1.3338,13.59181,2.768,1.00818,71.04352,-7.70820723,4.644506383,0.4961288565,-6.63995,-1.08958,1.9069,50,5.65699,-4.54334,-112.14825,1.187,-8.44969,20.43339,-33.56059,e615c02c-dffa-482e-9d6e-f3204375341b,b3572319-1cf8-4832-901a-29db7b49f42b,75.97308,LiveBpPitching,22420025,NA,1000238638,"Smith, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-03-04,16:01:04,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,87.17806,-1.650834324,2.614098892,1983.202276,142.3447935,10:45:00,5.67692,-2.00174,6.28203,-18.45633,17.78579,-13.74221,2.61558,-0.73627,79.43971,-5.144423338,0.005953130794,0.4332894899,8.27977,10.21535,1.81592,50,5.54626,-5.38422,-126.7851,-4.20083,13.42545,26.8477,-15.61009,12cef20a-d5bb-4371-9cd9-f97dce42c63a,b3572319-1cf8-4832-901a-29db7b49f42b,86.99135,LiveBpPitching,22420025,9.431349858,1000238638,"Smith, Gavin",NA,LineDrive,102.38033,Right,16.90703804,NA,NA,NA,337.51998,75.33286,3.571928389,20.58083517,1.44383,2.61934,0.90562,NA,NA,NA,NA,NA
8,2025-03-04,16:01:39,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,86.45126,-0.7500305621,2.980009514,1874.711048,149.4200288,11:00:00,5.43716,-2.07476,6.17891,-20.83244,16.15165,-9.57094,3.00762,-0.11831,78.7697,-4.687723055,1.168682337,0.4377023737,6.07692,9.02473,1.85476,50,5.36991,-6.2593,-125.71351,-2.2685,9.69325,26.26069,-17.77878,6dd65411-a71a-4688-ac59-0a7b02f473b0,b3572319-1cf8-4832-901a-29db7b49f42b,86.11431,LiveBpPitching,22420025,NA,1000196494,"King, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-03-04,16:01:53,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,75.74753,NA,NA,2417.882663,NA,NA,5.47032,-1.71985,NA,NA,NA,NA,3.0217,-1.10612,69.16231,-7.930447986,2.074371265,0.5171417009,-7.7949,-2.995,1.77502,50,5.66516,0.74156,-109.86917,2.55442,-9.47446,20.48736,-35.81438,055b0f7b-e5e5-41b9-ba5c-ab8a04da82f5,b3572319-1cf8-4832-901a-29db7b49f42b,NA,LiveBpPitching,22420025,NA,1000196494,"King, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-03-04,16:02:09,"Bergsma, Charley",1000277757,Left,HAR_CRI,NA,NA,Live,NA,85.48813,-2.019431749,4.578096208,1938.844639,135.9366874,10:30:00,5.54392,-2.18777,NA,-24.77332,14.98962,-14.53723,1.56204,0.94123,78.26128,-6.567859365,1.903279779,0.4538482166,8.79699,8.34005,1.74958,50,5.32455,-9.38249,-123.81514,-5.28599,13.69255,24.10041,-19.19274,e37f0feb-7cf0-4ad0-b513-ba4fbbe7061d,b3572319-1cf8-4832-901a-29db7b49f42b,NA,LiveBpPitching,22420025,NA,1000196494,"King, Justin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
