PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-10-01,15:40:05,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Fastball,Live,NA,78.72742,-1.228295834,-2.309429803,1984.281091,220.9427295,01:15:00,6.11564,1.65551,5.09903,-32.67166,13.89138,12.08291,2.23461,0.48534,71.81905,-7.269959307,-0.0622178223,0.4911250421,-7.0214,7.65388,-1.44698,50,5.97481,4.21727,-114.30669,-3.51445,-9.2407,22.11009,-22.10096,f6c8c841-99fb-4a64-b2a9-46ffed3790d5,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,76.74713,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1516879286,1984.274137,0.9999964955,NA
2,2025-10-01,15:40:21,"McHugh, Ryan",831896,Right,HAR_CRI,NA,ChangeUp,Live,NA,72.83215,1.186053389,-3.304491436,2088.896181,249.9846703,02:15:00,6.0055,1.82432,4.77693,-48.79875,6.36408,17.68045,3.06511,0.16221,66.44841,-7.791548341,-0.03714334321,0.5345578148,-10.14463,2.95601,-1.50895,50,6.08278,5.54139,-105.60488,0.6553,-11.39905,18.82324,-28.85252,ba82de42-74e6-4f59-852f-20b476a8a01e,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,70.51144,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2212501086,2088.880607,0.9999925443,NA
3,2025-10-01,15:40:36,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Curveball,Live,NA,70.13022,2.092469833,0.7696544591,2102.462979,35.14343594,07:15:00,6.02286,1.62352,4.1175,-69.38182,-8.20354,-5.73364,2.24945,1.8841,64.14092,-10.51110684,-0.2818234658,0.5629502314,3.14989,-4.81248,-1.70337,50,6.18492,-1.17714,-101.63888,1.43583,3.26082,18.27187,-37.156,d19f1fbd-be49-4207-80d9-d525e5b8575d,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,66.95519,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.76652195,56.48294226,1160.948983,0.5521852201,06:30:00
4,2025-10-01,15:40:51,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Curveball,Live,NA,71.97304,2.036261713,-0.6469011607,2148.091973,29.90778694,07:00:00,6.10591,1.51799,4.74354,-62.22544,-5.73247,-3.26915,2.85255,0.63203,65.94994,-9.388477419,-1.251586332,0.5409642892,1.50394,-3.57636,-1.45021,50,6.25728,1.2816,-104.46547,1.77157,1.65149,18.63138,-36.10129,8435ab44-a536-4fe0-945f-0e9542361ce5,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,69.67639,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3687872,1094.474864,0.5095102433,NA
5,2025-10-01,15:41:57,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Curveball,Live,NA,73.115710000000007,2.554224991,-1.124104753,2174.208994,18.79366805,06:45:00,6.03434,1.41901,4.49493,-68.32267,-13.18583,-4.46929,2.77634,-0.02453,67.29412,-9.90136227,-1.945323185,0.5344318581,1.97452,-7.50328,-1.29707,50,6.23896,2.22803,-106.06168,2.48653,2.24312,18.59412,-40.69801,427d80d5-87bb-41e1-994b-9f67f22d2c6c,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,70.52805,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9444038,52.85468467,1312.871336,0.6038386095,06:45:00
6,2025-10-01,15:42:11,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Slider,Live,NA,74.49956,1.343697461,-0.926930719,2007.671022,281.5435427,03:30:00,6.08753,1.49338,4.49799,-52.76934,-0.35976,1.54432,2.97059,0.73894,69.10108,-8.240688471,-0.6447890195,0.5210468217,-1.02183,-0.51937,-1.39774,50,6.17898,1.69953,-108.27621,0.75256,-1.22522,17.13131,-32.79679,d7e2f2f7-a38d-4672-b64d-009fcc9609ca,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,72.33983,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-10-01,15:42:27,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Slider,Live,NA,74.70376,-0.932012963,-3.023273438,2025.400986,320.1935048,04:45:00,6.01442,1.50387,4.6518,-55.907,-3.10167,2.55315,0.4688,-1.1581,68.68121,-11.11808642,-2.552298569,0.5230103371,-2.23399,-1.32259,-1.19731,50,5.87003,5.63653,-108.30411,-3.59408,-2.63157,20.37188,-33.73201,0fd6f2a4-b436-4030-b524-5b5f069c67c1,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,72.06825,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.23732277,617.8992423,0.305075018,NA
8,2025-10-01,15:42:43,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Fastball,Live,NA,81.41475,-2.463604002,-2.689359911,2238.374459,213.4655668,01:00:00,5.97661,1.56742,5.58702,-25.43684,17.33229,11.46733,1.55274,0.01022,74.31974,-7.201587641,-0.5399224266,0.4706917602,-6.90566,9.97304,-1.34409,50,5.74867,5.195,-118.19663,-5.88289,-9.72719,23.43132,-18.12621,d7e09c3b-2691-4741-9dfa-f137fc36415c,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,80.07882,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3827066456,2238.324526,0.9999776923,NA
9,2025-10-01,15:43:03,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Fastball,Live,NA,81.7724,-2.60541266,-3.295793241,2151.169744,217.6571003,01:15:00,5.84304,1.84006,5.49925,-26.10856,16.44178,12.69764,1.22503,-0.18742,74.72152,-7.455818105,-0.9223028548,0.4694863256,-7.70434,9.49982,-1.56062,50,5.59778,6.42851,-118.63078,-6.23572,-10.9455,23.34421,-18.67772,08ad41d1-cb32-4a99-b5c7-fd18cb004ef2,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,80.28442,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-10-01,15:43:18,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Curveball,Live,NA,73.98286,0.5855927275,-0.5025258694,2206.48917,24.11806247,06:45:00,5.93962,1.57563,4.65477,-67.82599,-14.09294,-6.28951,0.84377,0.57412,68.1671,-11.78915804,-1.665747697,0.5275846436,3.1012,-7.471,-1.51885,50,5.93984,1.1459,-107.40331,-1.10076,3.58862,20.22465,-40.81928,d73eb8d9-6360-4231-8b84-dfd4f498bfb7,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,71.4434,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.94572033,48.1523973,1472.062779,0.6671515993,06:45:00
11,2025-10-01,15:43:37,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Slider,Live,NA,76.28069,-0.2408279228,-2.212215401,2007.894121,326.7826109,05:00:00,5.96172,1.39677,4.55909,-54.01763,-3.50487,2.26937,1.23091,-0.52031,70.2416,-10.07740533,-1.794854156,0.511530959,-1.80407,-1.73538,-1.16939,50,5.8877,4.1994,-110.70706,-2.30262,-2.23177,20.35477,-34.32085,bc9efac8-d0f1-45cf-8887-0a4164deb6c2,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,73.68555,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2025-10-01,15:43:59,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Fastball,Live,NA,82.5613,-1.21024643,-2.053784617,2136.757094,223.5481506,01:30:00,5.93235,1.73429,5.59524,-27.66034,13.61876,12.97432,2.49664,0.89741,75.70601,-6.361138185,0.3733340311,0.4624198612,-7.48643,7.59849,-1.56682,50,5.81085,3.8936,-120.04914,-3.41495,-10.93732,22.99983,-21.07301,ce9bffd1-c39a-4e53-b8b1-01fca88996a3,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,81.51129,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.0206427,0.9089669874,2136.488209,0.999874162,01:45:00
13,2025-10-01,15:44:14,"McHugh, Ryan",831896,Right,HAR_CRI,NA,ChangeUp,Live,NA,76.09336,-1.231315677,-2.508758412,2151.931765,228.0042205,01:30:00,5.83189,1.82317,4.8793,-36.35243,13.56732,15.11171,1.63639,0.70764,70.01064,-7.89411534,0.2797549552,0.5085194847,-8.53522,7.38693,-1.58945,50,5.68096,4.34826,-110.49864,-3.56361,-10.5809,19.19863,-23.01666,ea5affaf-977b-4c50-92e5-ed12308af35f,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,74.12192,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.0711891,1.242233783,2151.426006,0.9997649748,01:45:00
14,2025-10-01,15:44:31,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Fastball,Live,NA,81.73529,-1.284546837,-3.397027564,2078.850107,220.3995192,01:15:00,5.80533,1.84616,5.60615,-29.97062,11.99449,10.24156,2.10656,-0.47464,75.39326,-6.844903924,-1.489452239,0.4662464614,-6.33263,6.72299,-1.56236,50,5.67608,6.72761,-118.76723,-3.61095,-9.11069,21.2037,-22.50175,4e14de31-88ae-452e-a7ac-b677f5ba5da3,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,80.84231,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.6130618,0.9340505498,2078.573872,0.9998671211,01:45:00
15,2025-10-01,15:44:45,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Fastball,Live,NA,81.79279,-0.8292642097,-1.883836793,2181.583414,230.4816374,01:45:00,5.84373,1.84981,5.42273,-29.14564,13.18169,16.02077,2.63782,1.41997,74.98355,-6.241669457,1.104435518,0.4682543458,-9.01348,7.21787,-1.69386,50,5.7502,3.39386,-118.92451,-2.66408,-12.92106,22.59822,-21.82705,d48a41fa-182d-43e4-9685-439f449aa7c6,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,80.49565,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.8642214,0.4394769935,2181.519238,0.9999705832,01:30:00
16,2025-10-01,15:45:02,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Fastball,Live,NA,83.30187,-0.31126099,-3.855433263,2169.955046,219.2895535,01:15:00,5.8548,1.63782,5.68608,-26.56134,13.9123,11.43276,3.35062,-1.0079,76.26382,-5.270325107,-1.719085527,0.457886224,-7.16425,7.52871,-1.32062,50,5.81201,7.79309,-120.983,-1.4955,-10.64361,23.07812,-20.98897,e50f4eef-5560-4b7a-b6f6-ae7648c0bbde,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,82.31835,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.5138462,-1.283396652,2169.410695,0.9997491418,02:00:00
17,2025-10-01,15:45:18,"McHugh, Ryan",831896,Right,HAR_CRI,NA,Curveball,Live,NA,74.71953,2.296494186,-0.1919439193,2190.573535,37.49857065,07:15:00,5.85362,1.6989,NA,-65.5054,-10.78273,-8.23271,2.62056,0.82692,68.45175,-9.480302361,-1.683235788,0.5324208322,4.04364,-6.04054,-1.66597,50,6.05328,0.67014,-108.24479,1.89417,4.77422,19.75505,-39.30596,ff3ff9a1-ea2d-457f-893c-708d7c571083,3644ff83-a24b-4a81-8e2d-f1017cfbdb29,NA,Pitching,22420025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
