PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-02-15,09:54:35.42,"Pauley, Truman",1000258644,Right,HAR_CRI,,Fastball,Live,,92.04844,-1.653589736,-1.523277314,2121.350021,204.7935498,12:45,5.65145,1.95892,6.49517,-8.79211,23.40448,10.81908,3.40012,1.46209,83.75744,-3.32717224,0.5392699804,0.4083911874,-6.41068,13.39277,-1.85725,50,5.53193,3.24162,-134.00572,-4.13154,-11.61038,30.04153,-7.91839,fad4a945-b4ff-4812-8d76-6277be21938b,d756dd38-b464-492d-9b3d-68381a8eed9b,92.29494,LiveBpPitching,22420025,,1000316933,"Shulman, Tyler",,,,Left,,,,,,,,,,,,,,,,
2,2025-02-15,09:54:50.99,"Pauley, Truman",1000258644,Right,HAR_CRI,,Fastball,Live,,92.41744,-2.995876848,-2.204110495,2135.349126,205.3946201,12:45,5.60255,1.78166,6.51172,-10.74976,21.19254,10.05724,1.9534,0.59644,84.33596,-5.035885985,-0.2890116804,0.4067752253,-6.17414,12.54403,-1.63264,50,5.389,4.8726,-134.3842,-7.35849,-11.27001,29.6145,-9.27671,d0ea5d8e-7c94-4424-ab8a-b2488b3fadb1,d756dd38-b464-492d-9b3d-68381a8eed9b,92.66159,LiveBpPitching,22420025,,1000316933,"Shulman, Tyler",,,,Left,,,,,,,,,,,,,,,,
3,2025-02-15,09:55:08.44,"Pauley, Truman",1000258644,Right,HAR_CRI,,Fastball,Live,,91.89812,-2.120700071,-1.260697136,2132.317087,204.4238909,12:45,5.67639,1.76869,6.46596,-9.50214,22.83423,10.37336,2.9357,1.47522,83.69755,-3.926168598,0.7155057875,0.4092766956,-6.08033,13.19596,-1.6846,50,5.52276,2.63358,-133.76307,-5.23854,-10.9773,29.80918,-8.35034,7cbf901f-a800-4975-bc55-294445e9efe1,d756dd38-b464-492d-9b3d-68381a8eed9b,92.09525,LiveBpPitching,22420025,,1000316933,"Shulman, Tyler",,,,Left,,,,,,,,,,,,,,,,
4,2025-02-15,09:55:27.63,"Pauley, Truman",1000258644,Right,HAR_CRI,,Slider,Live,,83.83816,0.1287066211,-1.609962029,2000.627615,357.3798276,6:00,5.62342,1.89316,5.82652,-46.3698,-6.62854,0.30194,1.87895,0.4215,77.13243,-8.530934513,-1.553182478,0.4537244854,-0.6189,-3.60489,-1.76202,50,5.60659,3.41916,-121.98189,-1.15829,-0.93075,24.41782,-37.59531,c775041f-ef38-4a57-aa31-af32d780834a,d756dd38-b464-492d-9b3d-68381a8eed9b,83.07341,LiveBpPitching,22420025,,1000316933,"Shulman, Tyler",,,,Left,,,,,,,,,,,,,,,,
5,2025-02-15,09:55:56.16,"Pauley, Truman",1000258644,Right,HAR_CRI,,Fastball,Live,,92.13851,-0.8427123759,-1.380971303,2131.507325,203.508153,12:45,5.71271,1.77824,6.6266,-12.4767,19.62557,8.54865,3.90118,1.22608,83.44007,-3.230787011,0.2571565819,0.407792552,-5.16798,11.1525,-1.68844,50,5.65056,2.9881,-134.17259,-2.33379,-9.33034,31.63265,-12.03917,7beca388-066b-47ca-8d38-cd8e6b98d23a,d756dd38-b464-492d-9b3d-68381a8eed9b,92.43043,LiveBpPitching,22420025,,1000060010,"Cooper, George",,,,Right,,,,,,,,,,,,,,,,
6,2025-02-15,09:56:13.45,"Pauley, Truman",1000258644,Right,HAR_CRI,,Fastball,Live,,91.49848,-3.879681601,-3.388009838,2104.716433,200.0537073,12:45,5.63291,1.72513,6.63142,-11.04553,21.40017,7.80595,1.14918,-0.7295,83.83339,-5.972444886,-1.903606553,0.4099680037,-5.24438,12.90779,-1.49945,50,5.36557,7.63999,-132.84647,-9.34289,-9.39192,27.89354,-9.05809,cadd8735-068b-4c09-9f97-5c7be5f1ab5d,d756dd38-b464-492d-9b3d-68381a8eed9b,91.93995,LiveBpPitching,22420025,,1000060010,"Cooper, George",,,,Right,,,,,,,,,,,,,,,,
7,2025-02-15,09:56:34.47,"Pauley, Truman",1000258644,Right,HAR_CRI,,Fastball,Live,,91.46569,-1.911366209,-2.362204532,2163.473967,204.5220886,12:45,5.64733,1.92956,6.64238,-8.72704,23.77969,10.85685,3.16858,0.67108,83.08723,-3.578810185,-0.2862139344,0.4103534378,-6.7203,13.75928,-1.77496,50,5.51493,5.17994,-133.09248,-4.6948,-11.98613,30.06916,-7.6334,6abd94a0-0c26-4d6c-9566-6f0ce978ff44,d756dd38-b464-492d-9b3d-68381a8eed9b,91.8536,LiveBpPitching,22420025,,1000060010,"Cooper, George",,,,Right,,,,,,,,,,,,,,,,
8,2025-02-15,09:57:10.16,"Pauley, Truman",1000258644,Right,HAR_CRI,,Sweeper,Live,,79.46813,2.562868815,0.5660784785,2537.217863,86.82633004,9:00,5.63381,1.81089,6.01995,-44.86034,-0.74618,-12.6807,4.27064,1.27843,72.39976,-5.89988923,-1.832746187,0.4780357802,7.04782,-1.16155,-1.84825,50,5.8099,-0.78459,-115.55351,3.90914,9.47298,22.7204,-33.73529,7014ed6e-ebe6-419a-996b-2afe30d762e9,d756dd38-b464-492d-9b3d-68381a8eed9b,78.84857,LiveBpPitching,22420025,,1000060010,"Cooper, George",,,,Right,,,,,,,,,,,,,,,,
9,2025-02-15,09:57:28.50,"Pauley, Truman",1000258644,Right,HAR_CRI,,Fastball,Live,,90.22451,0.2909187754,-1.911521885,2064.878218,205.6525875,12:45,5.63153,1.69491,6.64576,-14.90232,18.6542,8.97771,4.65606,0.69301,81.41187,-2.568627952,-0.1883899879,0.416926863,-5.5928,10.27845,-1.57,50,5.645,4.13194,-131.34428,0.24958,-9.64612,31.10966,-14.44642,a592ae42-eed0-4d57-8ec7-b96c9d86df8e,d756dd38-b464-492d-9b3d-68381a8eed9b,90.4054,LiveBpPitching,22420025,,1000060010,"Cooper, George",,,,Right,,,,,,,,,,,,,,,,
10,2025-02-15,09:58:00.39,"Pauley, Truman",1000258644,Right,HAR_CRI,,Sweeper,Live,,80.73307,0.7306287403,0.2930184158,2613.678592,99.24861698,9:15,5.53395,1.93061,5.80459,-40.7575,2.45726,-15.31685,2.81692,0.92668,73.4379,-6.929595163,-2.599425803,0.4731375675,8.34799,1.0986,-1.94558,50,5.56976,-0.14653,-117.42233,0.28941,11.52885,24.48593,-30.65685,1b46be2c-3951-4e01-a104-0119ffc72924,d756dd38-b464-492d-9b3d-68381a8eed9b,79.66486,LiveBpPitching,22420025,,1000196492,"Lane, Max",,,,Right,,,,,,,,,,,,,,,,
