PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-01-29,17:57:23.49,"Colasante, Gio",1000139698,Right,HAR_CRI,,Fastball,Live,,87.13943,-1.05839928,-3.367179912,2094.329648,221.8558857,1:30,5.80719,2.56507,5.7622,-22.82978,14.21655,12.77117,2.91794,0.4922,79.35693,-5.339082646,-0.9683073377,0.4380704716,-7.83387,7.94448,-2.2941,50,5.70575,7.03325,-126.56687,-3.08141,-12.66204,26.69305,-19.33324,df4f9170-d531-4edf-b8bc-c26915884a35,8ffd59bc-2195-4708-bbb0-f060d98e23f7,86.04195,Pitching,22420025,,,,,,,,,,,,,,,,,,,217.4920048,31.84430303,1779.101577,0.849484979,1:15
2,2025-01-29,17:57:38.54,"Colasante, Gio",1000139698,Right,HAR_CRI,,Fastball,Live,,87.06563,-2.577442937,-2.321017345,2104.376392,216.3229657,1:15,5.78155,2.53679,5.76848,-20.36465,16.70402,12.28454,1.6826,1.39962,79.49284,-6.384896746,-0.01182608154,0.4382025084,-7.26494,9.71374,-2.35246,50,5.55617,4.72906,-126.47635,-6.35654,-11.73505,26.46285,-16.48345,81d07410-41e2-4fd3-9a9f-78060ef6a111,8ffd59bc-2195-4708-bbb0-f060d98e23f7,86.01603,Pitching,22420025,,,,,,,,,,,,,,,,,,,,22.28537743,1947.193217,0.92530653,
3,2025-01-29,17:57:53.33,"Colasante, Gio",1000139698,Right,HAR_CRI,,Fastball,Live,,88.83629,-1.902019842,-2.841569786,2175.421495,219.5711976,1:15,5.75042,2.72089,,-21.33386,16.27935,13.47041,2.15302,1.12712,80.79823,-5.799800844,-0.3720820897,0.4414093939,-7.70485,8.87106,-2.42902,50,5.52566,5.84385,-128.753,-5.14708,-12.89056,27.56247,-17.33238,7cbc1b0b-2ecf-4620-9164-d2a11a307de1,8ffd59bc-2195-4708-bbb0-f060d98e23f7,,Pitching,22420025,,,,,,,,,,,,,,,,,,,,24.98200272,1971.89013,0.9064404917,
4,2025-01-29,17:58:08.36,"Colasante, Gio",1000139698,Right,HAR_CRI,,Fastball,Live,,88.75337,-1.778024282,-5.012586675,2251.618837,221.7959866,1:30,5.68217,2.60908,6.03626,-18.75592,16.55902,14.84337,2.46619,-0.80662,81.15858,-5.301988895,-2.226099498,0.4277111762,-9.40633,9.45704,-2.22575,50,5.53292,10.82178,-128.70823,-4.60112,-15.81535,26.13319,-16.27343,097a59f8-d5b6-48ec-83f0-a638554963b5,8ffd59bc-2195-4708-bbb0-f060d98e23f7,88.12592,Pitching,22420025,,,,,,,,,,,,,,,,,,,222.0575061,30.1667173,1946.675021,0.8645668567,1:30
5,2025-01-29,17:58:22.62,"Colasante, Gio",1000139698,Right,HAR_CRI,,Fastball,Live,,89.32308,-1.810060296,-4.863620022,2165.066719,216.30224,1:15,5.66097,2.71909,6.05657,-18.76065,16.19307,11.93092,2.41582,-0.79864,81.40934,-5.34127015,-2.618929233,0.4255181785,-7.85733,9.30448,-2.34752,50,5.51,10.6465,-129.52958,-4.69826,-13.32428,27.52543,-16.39572,a268d90e-5d2c-49ff-98a0-eb94643f60ae,8ffd59bc-2195-4708-bbb0-f060d98e23f7,88.58009,Pitching,22420025,,,,,,,,,,,,,,,,,,,208.2034801,29.60343854,1882.450351,0.8694652846,1:00
6,2025-01-29,17:58:40.98,"Colasante, Gio",1000139698,Right,HAR_CRI,,Fastball,Live,,86.80268,-2.493580526,-2.295219247,1963.12009,226.2189437,1:30,5.53099,2.72767,5.71923,-22.88922,14.45626,15.08769,1.29782,1.84617,79.3477,-6.765556753,0.5381401241,0.4398356625,-8.74599,8.46449,-2.54538,50,5.30863,4.56335,-126.09836,-6.24033,-14.04881,26.20716,-18.57742,27e206c0-3f3b-4547-8735-df49c10de1ec,8ffd59bc-2195-4708-bbb0-f060d98e23f7,85.69664,Pitching,22420025,,,,,,,,,,,,,,,,,,,,35.84519984,1591.30927,0.8106021017,
7,2025-01-29,17:58:55.71,"Colasante, Gio",1000139698,Right,HAR_CRI,,ChangeUp,Live,,85.42016,-1.145046749,-2.85853686,1785.533074,255.3422238,2:30,5.57026,2.65308,5.77624,-33.94412,4.6041,17.67664,1.67481,1.46445,78.03983,-7.495610474,0.4679108965,0.4468621468,-10.34329,2.81149,-2.42787,50,5.45541,5.63825,-124.11587,-3.55756,-16.05273,26.01568,-27.81063,19634275-d408-4c57-9b0d-5ebcb0dd97f8,8ffd59bc-2195-4708-bbb0-f060d98e23f7,84.34914,Pitching,22420025,,,,,,,,,,,,,,,,,,,,19.1973333,1686.242571,0.9443916756,
8,2025-01-29,17:59:12.02,"Colasante, Gio",1000139698,Right,HAR_CRI,,Fastball,Live,,88.40689,-1.480965581,-3.799213664,2236.172693,224.5908137,1:30,5.64688,2.56358,6.07161,-21.238,14.15067,13.98153,2.50353,0.20849,81.03566,-5.471221532,-1.168366128,0.4281574963,-8.60655,8.07479,-2.27709,50,5.52079,8.09318,-128.4487,-3.99136,-14.42515,25.80596,-18.64015,ef2062dc-5c93-49cc-906b-1b7e3fad6033,8ffd59bc-2195-4708-bbb0-f060d98e23f7,88.03405,Pitching,22420025,,,,,,,,,,,,,,,,,,,,31.27836206,1911.1561,0.8546549673,
9,2025-01-29,17:59:28.12,"Colasante, Gio",1000139698,Right,HAR_CRI,,Sinker,Live,,85.90916,-1.633731793,-3.25629539,1792.073723,242.6280451,2:00,5.57257,2.53133,5.65652,-30.21494,7.88852,15.26881,1.5284,0.76412,78.8794,-7.256696979,-0.4000260912,0.4442767793,-9.05346,4.66447,-2.26547,50,5.41518,6.60145,-124.78955,-4.55117,-14.29954,24.72596,-24.80672,46bdef14-0765-40ff-b406-e6d77dd43f82,8ffd59bc-2195-4708-bbb0-f060d98e23f7,84.83999,Pitching,22420025,,,,,,,,,,,,,,,,,,,,19.86778608,1685.408336,0.940479353,
10,2025-01-29,17:59:44.12,"Colasante, Gio",1000139698,Right,HAR_CRI,,Fastball,Live,,89.58602,-0.9230029277,-2.290614586,1970.633308,224.4795572,1:30,5.68013,2.71534,5.76008,-20.93902,13.89942,13.67822,3.07546,1.72231,81.95149,-4.842243389,0.2754238856,0.4248158689,-7.9701,7.71303,-2.53409,50,5.59103,4.75387,-130.28925,-2.80142,-13.71548,27.08382,-18.90094,0be5d2bc-db9e-4a92-8632-24e88bbc3532,8ffd59bc-2195-4708-bbb0-f060d98e23f7,88.72653,Pitching,22420025,,,,,,,,,,,,,,,,,,,,23.09134786,1812.747611,0.919880733,
